ITEM  Number      BIN         HEX     
191   47          101111              2F
192   -13         1111110011  FFFFFFFFF3
193   -32         1111100000  FFFFFFFFE0
194   1           1                    1
195   1           1                    1
196   -25         1111100111  FFFFFFFFE7
197   -33         1111011111  FFFFFFFFDF
198   16          10000               10
199   17          10001               11
200   4           100                  4
Execution time: 0.001209 seconds
