ITEM  Number      BIN         HEX     
104   8795348     11010100        8634D4
105   2318100     1100010100      235F14
106   4750861     1000001101      487E0D
107   3770597     11100101        3988E5
108   1053352     1010101000      1012A8
109   833307      1100011011       CB71B
110   4632526     1111001110      46AFCE
111   2212917     110101          21C435
112   5053189     1100000101      4D1B05
113   412218      1000111010       64A3A
114   4901564     1010111100      4ACABC
115   5094606     11001110        4DBCCE
116   8070285     10001101        7B248D
117   6847905     110100001       687DA1
118   4311824     1100010000      41CB10
119   3009421     1110001101      2DEB8D
120   1629105     1110110001      18DBB1
121   8431899     100011011       80A91B
122   7582456     1011111000      73B2F8
123   7332147     100110011       6FE133
124   314183      1101000111       4CB47
125   7632568     1010111000      7476B8
126   8161327     101111          7C882F
127   6961087     1110111111      6A37BF
128   6898282     1001101010      69426A
129   9749303     1100110111      94C337
130   4427419     1010011011      438E9B
131   4368829     110111101       42A9BD
132   6439318     110010110       624196
133   6473603     1110000011      62C783
134   6446249     10101001        625CA9
135   9818836     1011010100      95D2D4
136   9438069     1101110101      900375
137   2809499     1010011011      2ADE9B
138   3460304     11010000        34CCD0
139   8430904     100111000       80A538
140   9774785     1011000001      9526C1
141   9560603     1000011011      91E21B
142   3440732     1011100         34805C
143   7053263     1111001111      6B9FCF
144   287398      1010100110       462A6
145   4043644     1101111100      3DB37C
146   2943820     1101001100      2CEB4C
147   9030962     100110010       89CD32
148   7537540     1110000100      730384
149   7203657     1101001001      6DEB49
150   5639400     11101000        560CE8
151   9448142     1011001110      902ACE
152   9954392     1011000         97E458
153   2856859     1110011011      2B979B
154   1332118     1110010110      145396
155   6984725     10101           6A9415
156   1925762     1010000010      1D6282
157   2138171     111011          20A03B
158   347447      100110111        54D37
159   8839390     11011110        86E0DE
160   3951652     100100          3C4C24
161   3755102     1011110         394C5E
162   6867687     1011100111      68CAE7
163   4383175     111000111       42E1C7
164   7125508     1000000100      6CBA04
165   7799732     1110110100      7703B4
166   8784156     100011100       86091C
167   1372809     1010001001      14F289
168   1327984     1101110000      144370
169   9205087     101011111       8C755F
170   6524241     101010001       638D51
171   9316072     1011101000      8E26E8
172   127744      1100000000       1F300
173   8388820     11010100        8000D4
174   6883557     11100101        6908E5
175   2291239     1000100111      22F627
176   3101270     1001010110      2F5256
177   1382825     110101001       1519A9
178   9873376     1111100000      96A7E0
179   6873500     110011100       68E19C
180   8185634     1100100010      7CE722
181   2464786     10010           259C12
182   8387154     1001010010      7FFA52
183   5581444     1010000100      552A84
184   8097911     1110111         7B9077
185   8882527     101011111       87895F
186   8941444     1110000100      886F84
187   4942703     1101101111      4B6B6F
188   101144      1100011000       18B18
189   7471180     1001100         72004C
190   1932131     1101100011      1D7B63
191   8052752     10000           7AE010
192   6359493     111000101       6109C5
193   1967646     1000011110      1E061E
194   6575052     1111001100      6453CC
195   2323342     1110001110      23738E
196   6735760     1110010000      66C790
197   8895858     101110010       87BD72
198   4238091     1100001011      40AB0B
199   7093069     1101001101      6C3B4D
200   39          100111              27
Execution time: 0.000483 seconds
